property_id,month,rent_billed,rent_collected,past_due_amount,delinquency_rate
STG-02,2024-01-01,36356.32,33703.19,2653.13,0.073
STG-02,2024-02-01,36229.2,33688.06,2541.14,0.0701
STG-02,2024-03-01,36483.44,33494.74,2988.7,0.0819
STG-02,2024-04-01,36356.32,33215.21,3141.11,0.0864
STG-02,2024-05-01,36483.44,32979.18,3504.26,0.0961
STG-02,2024-06-01,36991.92,33545.68,3446.24,0.0932
STG-02,2024-07-01,37119.04,33100.66,4018.38,0.1083
STG-02,2024-08-01,36991.92,33176.46,3815.46,0.1031
STG-02,2024-09-01,37373.28,33267.22,4106.06,0.1099
STG-02,2024-10-01,37373.28,32879.84,4493.44,0.1202
STG-02,2024-11-01,37627.52,32862.07,4765.45,0.1266
STG-02,2024-12-01,37500.4,32744.51,4755.89,0.1268
STG-03,2024-01-01,19268.56,18393.02,875.54,0.0454
STG-03,2024-02-01,19178.52,18094.9,1083.62,0.0565
STG-03,2024-03-01,19178.52,18208.26,970.26,0.0506
STG-03,2024-04-01,19538.68,18433.01,1105.67,0.0566
STG-03,2024-05-01,19448.64,18306.9,1141.74,0.0587
STG-03,2024-06-01,19268.56,18148.64,1119.92,0.0581
STG-03,2024-07-01,19268.56,18075.58,1192.98,0.0619
STG-03,2024-08-01,19358.6,18139.0,1219.6,0.063
STG-03,2024-09-01,19448.64,18091.87,1356.77,0.0698
STG-03,2024-10-01,19538.68,18311.36,1227.32,0.0628
STG-03,2024-11-01,19718.76,18323.14,1395.62,0.0708
STG-03,2024-12-01,19808.8,18484.3,1324.5,0.0669
STG-04,2024-01-01,16452.74,14992.57,1460.17,0.0887
STG-04,2024-02-01,17016.19,15480.61,1535.58,0.0902
STG-04,2024-03-01,17241.57,15793.91,1447.66,0.084
STG-04,2024-04-01,17579.64,16132.14,1447.5,0.0823
STG-04,2024-05-01,17692.33,16175.22,1517.11,0.0857
STG-04,2024-06-01,18030.4,16664.06,1366.34,0.0758
STG-04,2024-07-01,18030.4,16613.38,1417.02,0.0786
STG-04,2024-08-01,18481.16,16942.53,1538.63,0.0833
STG-04,2024-09-01,18255.78,16769.62,1486.16,0.0814
STG-04,2024-10-01,18481.16,17214.91,1266.25,0.0685
STG-04,2024-11-01,19157.3,17847.4,1309.9,0.0684
STG-04,2024-12-01,19157.3,17870.27,1287.03,0.0672
STG-05,2024-01-01,20921.44,19557.38,1364.06,0.0652
STG-05,2024-02-01,20830.08,19466.14,1363.94,0.0655
STG-05,2024-03-01,21012.8,19618.19,1394.61,0.0664
STG-05,2024-04-01,21195.52,19899.17,1296.35,0.0612
STG-05,2024-05-01,21104.16,19847.84,1256.32,0.0595
STG-05,2024-06-01,21286.88,19827.66,1459.22,0.0686
STG-05,2024-07-01,21104.16,19671.25,1432.91,0.0679
STG-05,2024-08-01,21378.24,19930.85,1447.39,0.0677
STG-05,2024-09-01,21560.96,19984.43,1576.53,0.0731
STG-05,2024-10-01,21378.24,19881.13,1497.11,0.07
STG-05,2024-11-01,21743.68,20369.81,1373.87,0.0632
STG-05,2024-12-01,21469.6,19885.03,1584.57,0.0738
